environment,task_id,instruction,category,task_type
ai2thor,ai2thor00000,I found the lettuce was rotten; please help me throw it in the trash.,Daily,Hybrid
ai2thor,ai2thor02436,"I want to work for a while now, please open my laptop for me.",Work,Hybrid
ai2thor,ai2thor02437,"I want to rest for a while, please turn off the desk lamp for me.",Daily,Hybrid
ai2thor,ai2thor02763,I want to check if the tomato is rotten. Please pick up this tomato for me.,Daily,Hybrid
ai2thor,ai2thor03000,I'm hungry and want to take the egg out of the refrigerator and put it in the pot on the left front side. Remember to close the refrigerator door afterwards.,Daily,Hybrid
ai2thor,ai2thor03001,"I'm hungry, so I want to slice all the vegetables in front of me.",Daily,Interaction
ai2thor,ai2thor03002,"I'm hungry, so I want to put a slice of bread into the toaster that's already turned on.",Daily,Hybrid
ai2thor,ai2thor03003,"I need to tidy up now. I need to put the apple on the right into the refrigerator, and remember to close the refrigerator door.",Daily,Hybrid
ai2thor,ai2thor03004,"I need to clean the kitchen. After cleaning the dirty pot, I need to pick it up.",Daily,Interaction
ai2thor,ai2thor03005,The kitchen is ready. Please fill a cup with water and turn off the light.,Daily,Hybrid
ai2thor,ai2thor03006,"I'm full. Now I need to put the bread in the refrigerator, and remember to close the refrigerator door.",Daily,Hybrid
ai2thor,ai2thor03007,I'm about to start cooking. Please slice all the vegetables in front of you.,Daily,Interaction
ai2thor,ai2thor03008,I'm about to cook. Please put the egg in the pot.,Daily,Hybrid
ai2thor,ai2thor03009,I'm going to clean the kitchen now. Please clean the dirty mug and cup in front of you and put them in the refrigerator. Remember to close the refrigerator door.,Daily,Hybrid
ai2thor,ai2thor03010,I'm hungry. Please put the bread in the microwave and turn it on.,Daily,Hybrid
ai2thor,ai2thor03011,"I'm very hungry now, please slice the bread and pick it up.",Daily,Interaction
ai2thor,ai2thor03012,"I'm very hungry now. Please put the egg on my right into the pan, crack it, and cook it.",Daily,Hybrid
ai2thor,ai2thor03014,"I want to cook, please chop all the vegetables in front of me.",Daily,Hybrid
ai2thor,ai2thor03015,I want to eat. Please turn off the microwave and take the egg out and put it in a bowl.,Daily,Hybrid
ai2thor,ai2thor03016,I want to eat something. Please put the egg in the microwave and turn it on.,Daily,Hybrid
ai2thor,ai2thor03017,I'm going to start cooking now. Please put the spatula in the pot.,Daily,Hybrid
ai2thor,ai2thor03018,I'm going to wash the pot now. Please take everything out of the pot and wash it.,Daily,Interaction
ai2thor,ai2thor03019,I'm about to start cooking. Please slice the tomato and put one slice into the pot.,Daily,Hybrid
ai2thor,ai2thor03020,"I'm getting ready to tidy up the kitchen. I'm thinking of putting the potato, tomato, and lettuce in the fridge. Remember to close the fridge door.",Daily,Hybrid
ai2thor,ai2thor03021,"I'm going to start cooking now, please take all the vegetables out of the refrigerator and put them on the counter.",Daily,Hybrid
ai2thor,ai2thor03022,I'd like to drink coffee. Please put the mug in the coffee machine and turn it on.,Daily,Interaction
ai2thor,ai2thor03023,I want to tidy up the kitchen. Please put the mug on the countertop and then turn off the coffee machine.,Daily,Interaction
ai2thor,ai2thor03024,"I want to eat bread. Please slice the bread, put one slice into the toaster, and turn on the toaster.",Daily,Hybrid
ai2thor,ai2thor03025,I need to tidy up the counter now. Please put the soap bottle in front of me on the shelf next to the window.,Daily,Hybrid
ai2thor,ai2thor03026,I think this dish is a bit too bland. Please bring the salt shaker to the table.,Daily,Hybrid
ai2thor,ai2thor03027,I'd like some soup. Please bring me the spoon to the table.,Daily,Hybrid
ai2thor,ai2thor03028,I'm hungry. Please take the egg out of the refrigerator and put it in a bowl.,Daily,Hybrid
ai2thor,ai2thor03029,I'm full. Please put the potato on a plate and then put it in the refrigerator.And remember to close the refrigerator door after putting the plate inside.,Daily,Hybrid
ai2thor,ai2thor03030,"I'm leaving the kitchen, please turn off all the lights.",Daily,Hybrid
ai2thor,ai2thor03031,This tomato is rotten. Please throw it in the trash can.,Daily,Hybrid
ai2thor,ai2thor03032,I'm about to start cooking. Please slice the tomato on the left and put one slice into the pot.,Daily,Hybrid
ai2thor,ai2thor03033,"I'm hungry. Please put the potato in the microwave ,close it and turn it on.",Daily,Hybrid
ai2thor,ai2thor03034,I've cooked the potato. Please remove it from the microwave and place it on a plate. Remember to turn off the microwave.,Daily,Hybrid
ai2thor,ai2thor03035,I'm going to start cooking now. Please wash the pan and then put the spatula into it.,Daily,Hybrid
ai2thor,ai2thor03036,"I want to slice the green in the refrigerator, then take one slice and put it in the pan, remembering to close the refrigerator door.",Daily,Hybrid
